  cell  ,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,1
"(4, 1)",1,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",0,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,0
"(11, 1)",1,0,0,1
"(12, 1)",1,0,1,0
"(13, 1)",1,0,0,1
"(14, 1)",1,0,1,0
"(15, 1)",1,0,0,1
"(16, 1)",1,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,0
"(20, 1)",1,0,0,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,0
"(24, 1)",1,0,0,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",1,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",1,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,0
"(43, 1)",1,0,0,1
"(44, 1)",1,0,1,0
"(45, 1)",1,0,0,1
"(46, 1)",0,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",0,0,0,1
"(50, 1)",1,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,0
"(53, 1)",1,0,0,1
"(54, 1)",1,0,1,1
"(55, 1)",1,0,1,1
"(56, 1)",0,0,1,1
"(57, 1)",0,0,1,0
"(58, 1)",1,0,0,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,0
"(1, 2)",0,1,0,1
"(2, 2)",1,0,1,0
"(3, 2)",0,1,0,0
"(4, 2)",1,1,0,1
"(5, 2)",1,0,1,0
"(6, 2)",1,0,0,1
"(7, 2)",0,0,1,1
"(8, 2)",0,0,1,1
"(9, 2)",1,0,1,0
"(10, 2)",1,0,0,1
"(11, 2)",0,1,1,0
"(12, 2)",0,1,0,1
"(13, 2)",0,1,1,0
"(14, 2)",0,1,0,1
"(15, 2)",0,1,1,0
"(16, 2)",1,1,0,0
"(17, 2)",1,0,0,1
"(18, 2)",1,0,1,0
"(19, 2)",0,1,0,1
"(20, 2)",1,1,1,0
"(21, 2)",1,1,0,1
"(22, 2)",1,0,1,0
"(23, 2)",1,1,0,0
"(24, 2)",0,1,0,1
"(25, 2)",1,0,1,0
"(26, 2)",1,0,0,1
"(27, 2)",0,0,1,1
"(28, 2)",0,1,1,1
"(29, 2)",0,0,1,1
"(30, 2)",0,0,1,1
"(31, 2)",0,0,1,1
"(32, 2)",1,1,1,1
"(33, 2)",1,0,1,1
"(34, 2)",0,1,1,0
"(35, 2)",0,1,0,1
"(36, 2)",1,0,1,0
"(37, 2)",0,1,0,1
"(38, 2)",0,0,1,1
"(39, 2)",1,0,1,0
"(40, 2)",1,0,0,1
"(41, 2)",0,0,1,0
"(42, 2)",0,1,0,1
"(43, 2)",0,1,1,0
